aː
b
bː
d̪
ɟ͡ʝ
ɟ͡ʝː
d̪͡z̪
ɛ
eː
ɱ
f
ɡ
h
ɦ
i
iː
(.)
ɲ
ɲː
j
jː
k
kː
l̪
l̪ː
m
mː
ŋ
n̪
n̪ː
ɑ
o
oː
p
r̪
r̪ː
ʃ
ʃː
s̪
s̪ː
t̪
t̪ː
t͡ʃ
t͡ʃː
t̪͡s̪
t̪͡s̪ː
c͡ç
c͡çː
u
uː
v
x
y
yː
ʒ
z̪
z̪ː
øː
ø
