Name	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	raisedLarynxEjective	loweredLarynxImplosive	click
ɸʲ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	+1	+1	-1	+1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
ɺʲ	0	-1	-1	-1	-1	+1	+1	+1	0	+1	+1	-1	-1	+1	-1	0	0	+1	+1	-1	-1	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ʃʲ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	+1	+1	+1	-1	+1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
ʎ	0	-1	-1	-1	-1	+1	+1	+1	0	+1	-1	-1	-1	+1	-1	0	0	+1	-1	+1	-1	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
bˀ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	+1	-1	-1	+1	-1	-1	-1	-1
dˀ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	+1	-1	-1	-1	-1
ɨ̃	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	+1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɺː	0	-1	-1	-1	+1	+1	+1	+1	0	+1	+1	-1	-1	+1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
mʲ	0	-1	-1	-1	-1	+1	+1	-1	0	-1	-1	-1	+1	-1	+1	-1	-1	-1	0	0	0	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
pʲ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	+1	+1	-1	+1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
t̠ʃʲʰ	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	+1	+1	+1	-1	+1	-1	0	0	0	-1	-1	+1	-1	-1	-1	-1	-1
˦˧	+1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
˦˩	+1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɐː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	+1	-1	-1	0	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɲː	0	-1	-1	-1	+1	+1	+1	-1	0	-1	-1	-1	+1	-1	-1	0	0	+1	-1	+1	-1	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
kʲ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	+1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
z̞̩ˠ	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
z̞̩̃ˠ	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	+1	-1	-1	0	0	+1	+1	-1	+1	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ʌ̃	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	+1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ʌː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ʌ̃ː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	+1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
b͈ː	0	-1	-1	-1	+1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1
d͈ː	0	-1	-1	-1	+1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1
dˤ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1
f͈ː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	+1	-1	+1	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	+1	-1	-1	-1
ɡ͈ː	0	-1	-1	-1	+1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1
ɣ͈ː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1
ħ͈ː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	+1	-1	+1	0	0	0	-1	-1	-1	-1	+1	-1	-1	-1
kˤ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	0	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1
l͈ː	0	-1	-1	-1	+1	+1	+1	+1	0	+1	-1	-1	-1	+1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1
lˤ	0	-1	-1	-1	-1	+1	+1	+1	0	+1	-1	-1	-1	+1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1
m͈ː	0	-1	-1	-1	+1	+1	+1	-1	0	-1	-1	-1	+1	-1	+1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1
n͈ː	0	-1	-1	-1	+1	+1	+1	-1	0	-1	-1	-1	+1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1
r͈ː	0	-1	-1	-1	+1	+1	+1	+1	0	+1	-1	+1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1
rˤ	0	-1	-1	-1	-1	+1	+1	+1	0	+1	-1	+1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1
sˤ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	-1	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1
tˤ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1
x͈ː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	-1	-1	-1	-1	+1	-1	-1	-1
z͈ː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1
zˤ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	-1	0	0	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1
ʒ͈ː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1
ɡʲ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
kʲʼ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	+1	-1	0	0	0	-1	-1	-1	+1	-1	+1	-1	-1
ɪ̠	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	-1	+1	0	+1	+1	-1	+1	-1	-1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɪ̈ː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	0	-1	-1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ʄ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	-1	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	+1	-1
ɮ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	+1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ⱱ	0	-1	-1	-1	-1	+1	+1	+1	0	+1	+1	-1	-1	-1	+1	-1	+1	-1	0	0	0	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ᶑ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	-1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	+1	-1
ᶑː	0	-1	-1	-1	+1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	-1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	+1	-1
ɢː	0	-1	-1	-1	+1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	+1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ʊ̈	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	-1	0	-1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ʊ̈ː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	-1	0	-1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɵ	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
zː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ʒː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
sʼː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	-1	0	0	0	0	0	0	0	-1	-1	-1	+1	-1	+1	-1	-1
ðˤ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	+1	-1	-1	0	0	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1
dˤː	0	-1	-1	-1	+1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1
ħː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	+1	-1	+1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
ʁː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	+1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
sˤː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	-1	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1
tˤː	0	-1	-1	-1	+1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1
zˤː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	-1	0	0	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1
ʕː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	+1	-1	+1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
bʷː	0	-1	-1	-1	+1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
bˤ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1
bˤː	0	-1	-1	-1	+1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1
fʷː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
ħʷ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	+1	-1	+1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
kʷː	0	-1	-1	-1	+1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
l̪ː	0	-1	-1	-1	+1	+1	+1	+1	0	+1	-1	-1	-1	+1	-1	0	0	+1	+1	+1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
lˤː	0	-1	-1	-1	+1	+1	+1	+1	0	+1	-1	-1	-1	+1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1
mʷː	0	-1	-1	-1	+1	+1	+1	-1	0	-1	-1	-1	+1	-1	+1	+1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
mˤ	0	-1	-1	-1	-1	+1	+1	-1	0	-1	-1	-1	+1	-1	+1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1
mˤː	0	-1	-1	-1	+1	+1	+1	-1	0	-1	-1	-1	+1	-1	+1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1
rˤː	0	-1	-1	-1	+1	+1	+1	+1	0	+1	-1	+1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1
ɾˤ	0	-1	-1	-1	-1	+1	+1	+1	0	+1	+1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1
z̪	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	+1	+1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
z̪ː	0	-1	-1	-1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	+1	+1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
f͉	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	+1	-1	+1	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
s͉	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
ʃ͉	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
b̩	0	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
d̩	0	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ɡ̩	0	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ɡb	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ɡb̩	0	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ɡ̩ʷ	0	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ɣ̩	0	-1	+1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
kp	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
ŋ̩ʷ	0	-1	+1	-1	-1	+1	+1	-1	0	-1	-1	-1	+1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
v̩	0	-1	+1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	+1	-1	+1	-1	0	0	0	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
z̩	0	-1	+1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ɟː	0	-1	-1	-1	+1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	-1	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
cçʷʰ	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	+1	+1	-1	+1	-1	+1	-1	+1	+1	-1	+1	-1	0	0	0	-1	-1	+1	-1	-1	-1	-1	-1
çʷ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	+1	+1	-1	+1	-1	+1	-1	+1	+1	-1	+1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
ɟʝ	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	-1	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ɟʝʷ	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	+1	+1	-1	+1	-1	+1	-1	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
œː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	+1	-1	-1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
d̠ʒʷ	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	+1	+1	-1	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
t̠ʃʷ	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	+1	+1	-1	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
bʲ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
b̤ʲ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	+1	+1	-1	+1	-1	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1
ɓ̥	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	+1	-1
ɗ̥	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	+1	-1
ɡ̤ʷ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	+1	-1	+1	-1	-1	-1	-1	-1
hʲ	0	-1	-1	-1	-1	-1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	+1	-1	0	0	0	-1	-1	+1	-1	-1	-1	-1	-1
pʲʰ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	+1	+1	-1	+1	-1	0	0	0	-1	-1	+1	-1	-1	-1	-1	-1
ɾʲ	0	-1	-1	-1	-1	+1	+1	+1	0	+1	+1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
pf	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	+1	-1	+1	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
pfʰ	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	+1	-1	+1	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	+1	-1	-1	-1	-1	-1
ɠ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	-1	-1	+1	-1
o̯	0	-1	-1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	-1	+1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
d̪ð	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	+1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
kxʰ	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	-1	-1	+1	-1	-1	-1	-1	-1
ɑ̃ː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	+1	-1	-1	0	0	-1	0	0	0	+1	-1	+1	-1	+1	0	-1	-1	+1	-1	-1	-1	0	-1	-1	0
bʷˠ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
e̯	0	-1	-1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	+1	-1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ẽː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	+1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	+1	-1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ə̯	0	-1	-1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɤ̯	0	-1	-1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	+1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɡ̟	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
l̪ˠ	0	-1	-1	-1	-1	+1	+1	+1	0	+1	-1	-1	-1	+1	-1	0	0	+1	+1	+1	-1	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
l̥ˠ	0	-1	-1	-1	-1	+1	+1	+1	0	+1	-1	-1	-1	+1	-1	0	0	+1	+1	-1	-1	+1	+1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
l̥ʲ	0	-1	-1	-1	-1	+1	+1	+1	0	+1	-1	-1	-1	+1	-1	0	0	+1	+1	-1	-1	+1	+1	-1	+1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
mʷˠ	0	-1	-1	-1	-1	+1	+1	-1	0	-1	-1	-1	+1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
