b	b
d	d
ɡ	g
p	p
t	t
k	k
ɾ	dx
ʔ	q
s	s
ʃ	sh
z	z
ʒ	zh
f	f
θ	th
v	v
ð	dh
m	m
n	n
ŋ	ng
m̩	em
n̩	en
ŋ̩	eng
ɾ̃	nx
l	l
ɻ	r
w	w
j	y
h	hh
ɦ	hv
l̩	el
i	iy
ɪ	ih
ɛ	eh
eɪ	ey
æ	ae
ɑ	aa
aʊ	aw
aɪ	ay
ʌ	ah
ɔ	ao
ɔɪ	oy
oʊ	ow
ʊ	uh
u	uw
ʉ	ux
ɘ˞	er
ə	ax
ɪ̈	ix
ə˞	axr
ə̥	ax-h
d͡ʒ	jh
t͡ʃ	ch
(.)	pau
