(.)
a
b
t͡s
t͡ʃ
t͡ɕ
d
d͡ʒ
d͡ʑ
e
f
ɡ
h
i
j
k
l
ʎ
m
n
ɲ
o
p
r
s
ʃ
t
u
ʋ
z
ʒ
