b
ʔb	ʔ	b
m
ɸ
w
t
t͡sʼ
s
d
dʔ	d	ʔ
n
z
r
ɽ
l
t͡ʃ
t͡ʃʼ
ʃ
d͡ʒ
ʔʲ
j
kʲ
kʲʼ
ɡʲ
k
kʼ
ɡ
kʷ
kʷʼ
ɡʷ
ʔ
h
ɪ
e
ə
o
ʊ
iː
eː
aː
oː
uː
