a
æ
b
bʲ
d̪
d̪ʲ
ɛ
e
f
fʲ
ɡ
ɡʲ
ɪ
i
(.)
j
k
kʲ
l̪ˠ
l̪ʲ
m
mʲ
n̪
n̪ʲ
o
p
pʲ
r̪
r̪ʲ
ʃˠ
s̪
s̪ʲ
ɕː
t̪
t̪ʲ
t͡ʃ
t͡s
u
ʉ
v
vʲ
x
xʲ
ʒˠ
z̪
z̪ʲ
ɪ̈
ɨ
