hayesExtra_onlySchwaIsOverridenWithZeroTense	syllabic	stress	long	consonantal	sonorant	continuant	delayed_release	approximant	tap	trill	nasal	voice	spread_gl	constr_gl	LABIAL	round	labiodental	CORONAL	anterior	distributed	strident	lateral	DORSAL	high	low	front	back	tense
ã̘	1	-1	-1	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	-1	1
ɑ̘	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	1	1
ã	1	-1	-1	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	-1	0
m̥	-1	-1	-1	1	1	-1	0	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0
n̥	-1	-1	-1	1	1	-1	0	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	0	0	0	0	0
l̥	-1	-1	-1	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	0	0	0	0	0
ɲ̥	-1	-1	-1	1	1	-1	0	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	0
ʁ̥	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	0
j̥	-1	-1	-1	-1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	1
ŋ̥	-1	-1	-1	1	1	-1	0	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	-1	1	0
t͡sʼ	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	1	-1	-1	0	0	0	0	0
t͡ʃʼ	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	-1	0	0	0	0	0
ʔʲ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	0
kʲʼ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	0
kʼ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	0	0	0
kʷ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	0	0	-1	1	1	-1	0	0	0
kʷʼ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	0	0	-1	1	1	-1	0	0	0
ɡʷ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	1	-1	0	0	0
ⱱ	-1	-1	-1	1	1	1	0	1	1	-1	-1	1	-1	-1	1	-1	1	-1	0	0	0	-1	-1	0	0	0	0	0
ĩː	1	-1	1	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	1
ɛ̃	1	-1	-1	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	-1
ɨː	1	-1	1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	-1	-1	1
ɨ̃	1	-1	-1	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	-1	-1	1
ɔː	1	-1	1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	-1
ɔ̃	1	-1	-1	-1	1	1	0	1	-1	-1	1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	-1
ɓ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0
ɗ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	0	0	0	0	0
ɠ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	0	0	0
ʛ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	0
ʄ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	0
t͡ʃʰ	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	0	0	0	0
v̩	1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	0	0	0	-1	-1	0	0	0	0	0
ɑː	1	-1	1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	1	0
sː	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	0	0	0	0	0
tʰː	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	0	0	0	0	0
ẽ	1	-1	-1	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	1
ɑ̃	1	-1	-1	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	1	0
ɑ̃ː	1	-1	1	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	1	0
ʊː	1	-1	1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	1	-1	-1	1	-1
