p
b
ɓ
m
w
f
v
ⱱ
t
s
d
ɗ
n
z
ɾ
l
t͡ʃ
d͡ʒ
j
k
ɡ
ŋ
ʔ
h
i
iː
ĩː
ɛ
ɛː
ɛ̃
ɨ
ɨː
ɨ̃
a
aː
ã
u
uː
ɔ
ɔː
ɔ̃
